sample_i,sample_j,pairwise_centered_shape_vertex_distance_mean
img_17,img_18,0.00745667770204144
img_17,img_19,0.0034317732763016915
img_17,img_20,0.0023523121316869652
img_17,img_21,0.003437392271796904
img_18,img_19,0.010690255908828458
img_18,img_20,0.0067134999089717585
img_18,img_21,0.010691207406921994
img_19,img_20,0.005073817107233911
img_19,img_21,0.00044495408568413227
img_20,img_21,0.005096225008561104
